date,hour,weekday,month,holiday,event_type,temperature,humidity,windspeed,rainfall,station_id,available_bikes,total_docks,rentals,user_id,bike_id,ride_duration,distance_km,co2_saved_g,eco_score,usage_hours,maintenance_due,days_since_service
2022-01-01,5,5,1,False,None,8.07,86.91,14.18,0.0,1,57,33,53,4438,797,74,19.2,2304.0,57.6,825.7,False,35
2022-01-01,21,5,1,False,None,8.45,82.96,6.86,0.0,14,48,25,37,4013,2454,3,0.94,112.8,3.8,1138.0,False,53
2022-01-01,12,5,1,False,None,5.21,47.17,5.68,0.0,16,36,29,53,2479,360,13,3.56,427.2,13.8,1163.2,False,354
2022-01-01,8,5,1,False,None,6.24,65.36,11.12,0.0,63,50,25,71,4829,508,16,3.49,418.8,10.7,1445.7,False,337
2022-01-01,8,5,1,False,None,3.88,49.16,13.14,0.0,49,10,39,50,4215,1349,28,6.46,775.2,22.0,1650.2,True,2
2022-01-01,19,5,1,False,Sports,2.0,53.78,9.47,0.0,25,58,56,130,2808,2427,22,5.32,638.4,16.0,650.5,False,320
2022-01-01,8,5,1,False,None,5.4,64.68,0.6,0.0,52,20,31,58,2519,2328,55,13.79,1654.8,43.6,1525.2,True,116
2022-01-01,14,5,1,False,None,5.41,65.07,2.1,0.0,39,22,75,45,4230,583,17,4.5,540.0,14.1,1532.5,True,272
2022-01-01,12,5,1,False,None,5.08,64.58,15.31,0.0,12,13,55,34,4963,1,14,3.52,422.4,6.4,1745.3,True,133
2022-01-01,21,5,1,False,None,3.1,65.38,2.71,0.0,72,27,50,39,2245,1636,3,0.78,93.6,8.0,1586.4,True,143
2022-01-01,15,5,1,False,None,8.03,71.35,17.07,0.0,27,47,48,59,3556,2510,2,1.14,136.8,5.2,645.9,False,355
2022-01-01,1,5,1,False,Festival,8.41,31.02,22.81,0.0,29,21,46,45,1415,799,4,0.96,115.2,1.3,1856.4,True,164
2022-01-01,13,5,1,False,None,6.15,39.09,9.03,0.0,47,19,74,50,1263,2896,5,2.13,255.6,8.4,1435.5,False,177
2022-01-01,5,5,1,False,None,3.9,60.57,10.14,35.52,72,25,36,24,2798,1160,45,11.42,1370.4,30.8,1196.3,False,14
2022-01-01,1,5,1,False,None,4.61,76.05,17.53,0.0,61,33,34,27,4926,1748,20,5.68,681.6,16.0,1994.3,True,230
2022-01-01,7,5,1,False,None,6.25,63.1,10.07,0.0,58,47,22,66,1448,2551,50,12.31,1477.2,38.7,1802.8,True,126
